symbol,Date,Close,High,low,Open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-11-11 00:00:00+00:00,119.49,119.63,116.44,117.19,112294954,119.1099099,119.2494645,116.0696117,116.817226,112294954,0,1
AAPL,2020-11-12 00:00:00+00:00,119.21,120.53,118.57,119.62,103350674,118.8308005,120.1466017,118.1928363,119.2394964,103350674,0,1
AAPL,2020-11-13 00:00:00+00:00,119.26,119.6717,117.87,119.44,81688586,118.8806415,119.2910319,117.495063,119.0600689,81688586,0,1
AAPL,2020-11-16 00:00:00+00:00,120.3,120.99,118.146,118.92,91183018,119.9173333,120.6051385,117.7701851,118.541723,91183018,0,1
AAPL,2020-11-17 00:00:00+00:00,119.39,120.6741,118.96,119.55,74270973,119.010228,120.2902433,118.5815958,119.169719,74270973,0,1
AAPL,2020-11-18 00:00:00+00:00,118.03,119.82,118,118.61,76322111,117.654554,119.4388602,117.6246495,118.2327091,76322111,0,1
AAPL,2020-11-19 00:00:00+00:00,118.64,119.06,116.81,117.59,74112972,118.2626137,118.6812777,116.4384348,117.2159537,74112972,0,1
AAPL,2020-11-20 00:00:00+00:00,117.34,118.77,117.29,118.64,73604287,116.9667489,118.3922002,116.9169079,118.2626137,73604287,0,1
AAPL,2020-11-23 00:00:00+00:00,113.85,117.6202,113.75,117.18,127959318,113.4878504,117.2460576,113.3881685,116.8072578,127959318,0,1
AAPL,2020-11-24 00:00:00+00:00,115.17,115.85,112.59,113.91,113226248,114.8036515,115.4814885,112.2318583,113.5476595,113226248,0,1
AAPL,2020-11-25 00:00:00+00:00,116.03,116.75,115.17,115.55,76499234,115.6609159,116.3786256,114.8036515,115.1824428,76499234,0,1
AAPL,2020-11-27 00:00:00+00:00,116.59,117.49,116.22,116.57,46691331,116.2191346,117.1162718,115.8503115,116.1991982,46691331,0,1
AAPL,2020-11-30 00:00:00+00:00,119.05,120.97,116.81,116.97,169410176,118.6713095,120.5852021,116.4384348,116.5979258,169410176,0,1
AAPL,2020-12-01 00:00:00+00:00,122.72,123.4693,120.01,121.01,125920963,122.3296355,123.076552,119.6282558,120.6250749,125920963,0,1
AAPL,2020-12-02 00:00:00+00:00,123.08,123.37,120.89,122.02,89004195,122.6884903,122.9775678,120.5054566,121.6318621,89004195,0,1
AAPL,2020-12-03 00:00:00+00:00,122.94,123.78,122.21,123.52,78967630,122.5489356,123.3862637,121.8212577,123.1270907,78967630,0,1
AAPL,2020-12-04 00:00:00+00:00,122.25,122.8608,121.52,122.6,78260421,121.8611305,122.4699876,121.1334526,122.2100172,78260421,0,1
AAPL,2020-12-07 00:00:00+00:00,123.75,124.57,122.25,122.31,86711990,123.3563591,124.1737507,121.8611305,121.9209396,86711990,0,1
